"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"REACTOME_PATHWAY","Neutrophil degranulation","7.19%","57","549","490","11494","7.85e-10","1.18e-6","2.44","1.18e-6","1.18e-6","2.98e-10"
"REACTOME_PATHWAY","Immune System","19.55%","155","549","2177","11494","5.86e-8","4.42e-5","1.49","8.83e-5","4.39e-5","3.77e-8"
"REACTOME_PATHWAY","Innate Immune System","11.85%","94","549","1150","11494","1.73e-7","8.69e-5","1.71","2.61e-4","8.64e-5","9.72e-8"
"REACTOME_PATHWAY","Signaling by WNT","3.91%","31","549","320","11494","3.09e-4","9.35e-2","2.03","3.72e-1","9.29e-2","1.41e-4"
"REACTOME_PATHWAY","Signaling by Receptor Tyrosine Kinases","5.67%","45","549","538","11494","3.10e-4","9.35e-2","1.75","3.73e-1","9.29e-2","1.66e-4"
"REACTOME_PATHWAY","Positive epigenetic regulation of rRNA expression","1.89%","15","549","108","11494","5.95e-4","1.41e-1","2.91","5.92e-1","1.40e-1","1.82e-4"
"REACTOME_PATHWAY","NoRC negatively regulates rRNA expression","1.89%","15","549","109","11494","6.53e-4","1.41e-1","2.88","6.26e-1","1.40e-1","2.01e-4"
"REACTOME_PATHWAY","Epigenetic regulation of gene expression","3.78%","30","549","324","11494","8.10e-4","1.41e-1","1.94","7.05e-1","1.40e-1","3.94e-4"
"REACTOME_PATHWAY","Negative epigenetic regulation of rRNA expression","1.89%","15","549","112","11494","8.59e-4","1.41e-1","2.80","7.26e-1","1.40e-1","2.73e-4"
"REACTOME_PATHWAY","RNA Polymerase I Promoter Clearance","1.89%","15","549","113","11494","9.38e-4","1.41e-1","2.78","7.57e-1","1.40e-1","3.01e-4"
"REACTOME_PATHWAY","RNA Polymerase I Transcription","1.89%","15","549","115","11494","1.12e-3","1.53e-1","2.73","8.14e-1","1.52e-1","3.65e-4"
"REACTOME_PATHWAY","B-WICH complex positively regulates rRNA expression","1.64%","13","549","92","11494","1.36e-3","1.60e-1","2.96","8.71e-1","1.59e-1","4.06e-4"
"REACTOME_PATHWAY","Protein ubiquitination","1.51%","12","549","80","11494","1.38e-3","1.60e-1","3.14","8.75e-1","1.59e-1","3.85e-4"
"REACTOME_PATHWAY","RHO GTPases activate PKNs","1.64%","13","549","96","11494","1.97e-3","2.12e-1","2.84","9.49e-1","2.11e-1","6.17e-4"
"REACTOME_PATHWAY","CLEC7A (Dectin-1) signaling","1.51%","12","549","87","11494","2.73e-3","2.48e-1","2.89","9.84e-1","2.47e-1","8.38e-4"
"REACTOME_PATHWAY","Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)","1.64%","13","549","100","11494","2.79e-3","2.48e-1","2.72","9.85e-1","2.47e-1","9.14e-4"
"REACTOME_PATHWAY","Infectious disease","9.21%","73","549","1094","11494","2.80e-3","2.48e-1","1.40","9.85e-1","2.47e-1","1.91e-3"
"REACTOME_PATHWAY","Signaling by Interleukins","4.67%","37","549","471","11494","3.44e-3","2.86e-1","1.64","9.94e-1","2.84e-1","1.97e-3"
"REACTOME_PATHWAY","Signaling by NOTCH","2.77%","22","549","232","11494","3.61e-3","2.86e-1","1.99","9.96e-1","2.84e-1","1.68e-3"
"REACTOME_PATHWAY","RNA Polymerase I Promoter Escape","1.51%","12","549","92","11494","4.24e-3","3.08e-1","2.73","9.98e-1","3.06e-1","1.38e-3"
"REACTOME_PATHWAY","Regulation of endogenous retroelements","2.02%","16","549","147","11494","4.37e-3","3.08e-1","2.28","9.99e-1","3.06e-1","1.74e-3"
"REACTOME_PATHWAY","TCF dependent signaling in response to WNT","2.65%","21","549","222","11494","4.70e-3","3.08e-1","1.98","9.99e-1","3.06e-1","2.18e-3"
"REACTOME_PATHWAY","Assembly of the pre-replicative complex","1.89%","15","549","134","11494","4.70e-3","3.08e-1","2.34","9.99e-1","3.06e-1","1.81e-3"
"REACTOME_PATHWAY","Transcriptional regulation by small RNAs","1.64%","13","549","108","11494","5.25e-3","3.30e-1","2.52","1.00e+0","3.28e-1","1.87e-3"
"REACTOME_PATHWAY","Extracellular matrix organization","3.40%","27","549","323","11494","6.28e-3","3.77e-1","1.75","1.00e+0","3.75e-1","3.34e-3"
"REACTOME_PATHWAY","Signal Transduction","19.04%","151","549","2628","11494","6.55e-3","3.77e-1","1.20","1.00e+0","3.75e-1","5.21e-3"
"REACTOME_PATHWAY","Gene Silencing by RNA","1.89%","15","549","140","11494","6.91e-3","3.77e-1","2.24","1.00e+0","3.75e-1","2.79e-3"
"REACTOME_PATHWAY","Regulation of endogenous retroelements by KRAB-ZFP proteins","1.64%","13","549","112","11494","7.01e-3","3.77e-1","2.43","1.00e+0","3.75e-1","2.59e-3"
