source,target
G ALPHA (I) SIGNALLING EVENTS,GNAI3
G ALPHA (I) SIGNALLING EVENTS,GNAI1
G ALPHA (I) SIGNALLING EVENTS,GNAI2
G ALPHA (I) SIGNALLING EVENTS,GNAT3
G ALPHA (I) SIGNALLING EVENTS,SRC
G ALPHA (I) SIGNALLING EVENTS,GNB2
G ALPHA (I) SIGNALLING EVENTS,GNB4
G ALPHA (I) SIGNALLING EVENTS,GNB5
G ALPHA (I) SIGNALLING EVENTS,GNB3
G ALPHA (I) SIGNALLING EVENTS,GNB1
G ALPHA (I) SIGNALLING EVENTS,GNG8
G ALPHA (I) SIGNALLING EVENTS,GNGT2
G ALPHA (I) SIGNALLING EVENTS,GNGT1
G ALPHA (I) SIGNALLING EVENTS,GNG7
G ALPHA (I) SIGNALLING EVENTS,GNG13
G ALPHA (I) SIGNALLING EVENTS,GNG3
G ALPHA (I) SIGNALLING EVENTS,GNG10
G ALPHA (I) SIGNALLING EVENTS,GNG11
G ALPHA (I) SIGNALLING EVENTS,GNG4
G ALPHA (I) SIGNALLING EVENTS,GNG5
G ALPHA (I) SIGNALLING EVENTS,GNG12
G ALPHA (I) SIGNALLING EVENTS,GNG2
G ALPHA (I) SIGNALLING EVENTS,CCL4L1
G ALPHA (I) SIGNALLING EVENTS,CCL4
G ALPHA (I) SIGNALLING EVENTS,CCR1
G ALPHA (I) SIGNALLING EVENTS,CCR5
G ALPHA (I) SIGNALLING EVENTS,FPR2
G ALPHA (I) SIGNALLING EVENTS,APP
G ALPHA (I) SIGNALLING EVENTS,CCL23
G ALPHA (I) SIGNALLING EVENTS,SAA1
G ALPHA (I) SIGNALLING EVENTS,ANXA1
G ALPHA (I) SIGNALLING EVENTS,MT-RNR2
G ALPHA (I) SIGNALLING EVENTS,NMUR1
G ALPHA (I) SIGNALLING EVENTS,NMUR2
G ALPHA (I) SIGNALLING EVENTS,NMU
G ALPHA (I) SIGNALLING EVENTS,OXER1
G ALPHA (I) SIGNALLING EVENTS,P2RY4
G ALPHA (I) SIGNALLING EVENTS,GPR55
G ALPHA (I) SIGNALLING EVENTS,CNR1
G ALPHA (I) SIGNALLING EVENTS,CNR2
G ALPHA (I) SIGNALLING EVENTS,NMS
G ALPHA (I) SIGNALLING EVENTS,DRD3
G ALPHA (I) SIGNALLING EVENTS,DRD4
G ALPHA (I) SIGNALLING EVENTS,CCR7
G ALPHA (I) SIGNALLING EVENTS,CCL19
G ALPHA (I) SIGNALLING EVENTS,CCL21
G ALPHA (I) SIGNALLING EVENTS,P2RY14
G ALPHA (I) SIGNALLING EVENTS,PNOC
G ALPHA (I) SIGNALLING EVENTS,OPRL1
G ALPHA (I) SIGNALLING EVENTS,C5AR1
G ALPHA (I) SIGNALLING EVENTS,C5
G ALPHA (I) SIGNALLING EVENTS,CXCL12
G ALPHA (I) SIGNALLING EVENTS,ACKR3
G ALPHA (I) SIGNALLING EVENTS,CXCR4
G ALPHA (I) SIGNALLING EVENTS,P2RY13
G ALPHA (I) SIGNALLING EVENTS,GALR2
G ALPHA (I) SIGNALLING EVENTS,GALR1
G ALPHA (I) SIGNALLING EVENTS,GALR3
G ALPHA (I) SIGNALLING EVENTS,GAL
G ALPHA (I) SIGNALLING EVENTS,CCL5
G ALPHA (I) SIGNALLING EVENTS,CCR3
G ALPHA (I) SIGNALLING EVENTS,CCR4
G ALPHA (I) SIGNALLING EVENTS,HCAR1
G ALPHA (I) SIGNALLING EVENTS,BDKRB1
G ALPHA (I) SIGNALLING EVENTS,BDKRB2
G ALPHA (I) SIGNALLING EVENTS,KNG1
G ALPHA (I) SIGNALLING EVENTS,HTR1B
G ALPHA (I) SIGNALLING EVENTS,HTR1E
G ALPHA (I) SIGNALLING EVENTS,HTR1F
G ALPHA (I) SIGNALLING EVENTS,HTR1D
G ALPHA (I) SIGNALLING EVENTS,HTR5A
G ALPHA (I) SIGNALLING EVENTS,P2RY12
G ALPHA (I) SIGNALLING EVENTS,CXCR1
G ALPHA (I) SIGNALLING EVENTS,CXCL8
G ALPHA (I) SIGNALLING EVENTS,CXCL6
G ALPHA (I) SIGNALLING EVENTS,RLN3
G ALPHA (I) SIGNALLING EVENTS,RXFP3
G ALPHA (I) SIGNALLING EVENTS,ADRA2C
G ALPHA (I) SIGNALLING EVENTS,ADRA2B
G ALPHA (I) SIGNALLING EVENTS,ADRA2A
G ALPHA (I) SIGNALLING EVENTS,APLNR
G ALPHA (I) SIGNALLING EVENTS,APLN
G ALPHA (I) SIGNALLING EVENTS,GPR37L1
G ALPHA (I) SIGNALLING EVENTS,PSAP
G ALPHA (I) SIGNALLING EVENTS,GPR37
G ALPHA (I) SIGNALLING EVENTS,OXGR1
G ALPHA (I) SIGNALLING EVENTS,MTNR1A
G ALPHA (I) SIGNALLING EVENTS,MTNR1B
G ALPHA (I) SIGNALLING EVENTS,CXCR6
G ALPHA (I) SIGNALLING EVENTS,CXCL16
G ALPHA (I) SIGNALLING EVENTS,GPR18
G ALPHA (I) SIGNALLING EVENTS,LPAR3
G ALPHA (I) SIGNALLING EVENTS,LPAR2
G ALPHA (I) SIGNALLING EVENTS,LPAR5
G ALPHA (I) SIGNALLING EVENTS,LPAR1
G ALPHA (I) SIGNALLING EVENTS,TAS2R14
G ALPHA (I) SIGNALLING EVENTS,TAS2R50
G ALPHA (I) SIGNALLING EVENTS,TAS2R43
G ALPHA (I) SIGNALLING EVENTS,TAS2R60
G ALPHA (I) SIGNALLING EVENTS,TAS2R41
G ALPHA (I) SIGNALLING EVENTS,TAS2R10
G ALPHA (I) SIGNALLING EVENTS,TAS2R8
G ALPHA (I) SIGNALLING EVENTS,TAS2R3
G ALPHA (I) SIGNALLING EVENTS,TAS2R30
G ALPHA (I) SIGNALLING EVENTS,TAS2R31
G ALPHA (I) SIGNALLING EVENTS,TAS2R20
G ALPHA (I) SIGNALLING EVENTS,TAS2R19
G ALPHA (I) SIGNALLING EVENTS,TAS2R13
G ALPHA (I) SIGNALLING EVENTS,TAS2R45
G ALPHA (I) SIGNALLING EVENTS,TAS2R38
G ALPHA (I) SIGNALLING EVENTS,TAS2R9
G ALPHA (I) SIGNALLING EVENTS,TAS2R42
G ALPHA (I) SIGNALLING EVENTS,TAS2R46
G ALPHA (I) SIGNALLING EVENTS,TAS2R1
G ALPHA (I) SIGNALLING EVENTS,TAS2R40
G ALPHA (I) SIGNALLING EVENTS,TAS2R39
G ALPHA (I) SIGNALLING EVENTS,TAS2R5
G ALPHA (I) SIGNALLING EVENTS,TAS2R16
G ALPHA (I) SIGNALLING EVENTS,TAS2R7
G ALPHA (I) SIGNALLING EVENTS,TAS2R4
G ALPHA (I) SIGNALLING EVENTS,OPRM1
G ALPHA (I) SIGNALLING EVENTS,OPRK1
G ALPHA (I) SIGNALLING EVENTS,OPRD1
G ALPHA (I) SIGNALLING EVENTS,PDYN
G ALPHA (I) SIGNALLING EVENTS,PENK
G ALPHA (I) SIGNALLING EVENTS,POMC
G ALPHA (I) SIGNALLING EVENTS,HCAR3
G ALPHA (I) SIGNALLING EVENTS,CHRM4
G ALPHA (I) SIGNALLING EVENTS,CHRM2
G ALPHA (I) SIGNALLING EVENTS,CCL13
G ALPHA (I) SIGNALLING EVENTS,CCR2
G ALPHA (I) SIGNALLING EVENTS,C3AR1
G ALPHA (I) SIGNALLING EVENTS,C3
G ALPHA (I) SIGNALLING EVENTS,S1PR3
G ALPHA (I) SIGNALLING EVENTS,S1PR4
G ALPHA (I) SIGNALLING EVENTS,S1PR5
G ALPHA (I) SIGNALLING EVENTS,S1PR2
G ALPHA (I) SIGNALLING EVENTS,SUCNR1
G ALPHA (I) SIGNALLING EVENTS,CCR8
G ALPHA (I) SIGNALLING EVENTS,CCL16
G ALPHA (I) SIGNALLING EVENTS,HEBP1
G ALPHA (I) SIGNALLING EVENTS,FPR3
G ALPHA (I) SIGNALLING EVENTS,GPR31
G ALPHA (I) SIGNALLING EVENTS,CCL1
G ALPHA (I) SIGNALLING EVENTS,HCAR2
G ALPHA (I) SIGNALLING EVENTS,CXCR2
G ALPHA (I) SIGNALLING EVENTS,CXCL5
G ALPHA (I) SIGNALLING EVENTS,CXCL2
G ALPHA (I) SIGNALLING EVENTS,CXCL1
G ALPHA (I) SIGNALLING EVENTS,CXCL3
G ALPHA (I) SIGNALLING EVENTS,PPBP
G ALPHA (I) SIGNALLING EVENTS,PF4
G ALPHA (I) SIGNALLING EVENTS,GRM8
G ALPHA (I) SIGNALLING EVENTS,GRM2
G ALPHA (I) SIGNALLING EVENTS,GRM4
G ALPHA (I) SIGNALLING EVENTS,GRM6
G ALPHA (I) SIGNALLING EVENTS,GRM3
G ALPHA (I) SIGNALLING EVENTS,GRM7
G ALPHA (I) SIGNALLING EVENTS,PPY
G ALPHA (I) SIGNALLING EVENTS,PYY
G ALPHA (I) SIGNALLING EVENTS,NPY
G ALPHA (I) SIGNALLING EVENTS,NPY4R
G ALPHA (I) SIGNALLING EVENTS,NPY5R
G ALPHA (I) SIGNALLING EVENTS,NPY1R
G ALPHA (I) SIGNALLING EVENTS,NPY2R
G ALPHA (I) SIGNALLING EVENTS,GPER1
G ALPHA (I) SIGNALLING EVENTS,CASR
G ALPHA (I) SIGNALLING EVENTS,CXCL13
G ALPHA (I) SIGNALLING EVENTS,CXCR5
G ALPHA (I) SIGNALLING EVENTS,GPR183
G ALPHA (I) SIGNALLING EVENTS,CCR9
G ALPHA (I) SIGNALLING EVENTS,CCL25
G ALPHA (I) SIGNALLING EVENTS,ADORA3
G ALPHA (I) SIGNALLING EVENTS,ADORA1
G ALPHA (I) SIGNALLING EVENTS,PMCH
G ALPHA (I) SIGNALLING EVENTS,MCHR2
G ALPHA (I) SIGNALLING EVENTS,MCHR1
G ALPHA (I) SIGNALLING EVENTS,HRH4
G ALPHA (I) SIGNALLING EVENTS,FPR1
G ALPHA (I) SIGNALLING EVENTS,GABBR1
G ALPHA (I) SIGNALLING EVENTS,GABBR2
G ALPHA (I) SIGNALLING EVENTS,TAS1R3
G ALPHA (I) SIGNALLING EVENTS,TAS1R1
G ALPHA (I) SIGNALLING EVENTS,PTGDR2
G ALPHA (I) SIGNALLING EVENTS,RXFP4
G ALPHA (I) SIGNALLING EVENTS,INSL5
G ALPHA (I) SIGNALLING EVENTS,CX3CL1
G ALPHA (I) SIGNALLING EVENTS,CX3CR1
G ALPHA (I) SIGNALLING EVENTS,CORT
G ALPHA (I) SIGNALLING EVENTS,SST
G ALPHA (I) SIGNALLING EVENTS,SSTR1
G ALPHA (I) SIGNALLING EVENTS,SSTR2
G ALPHA (I) SIGNALLING EVENTS,SSTR5
G ALPHA (I) SIGNALLING EVENTS,SSTR3
G ALPHA (I) SIGNALLING EVENTS,SSTR4
G ALPHA (I) SIGNALLING EVENTS,TAS1R2
G ALPHA (I) SIGNALLING EVENTS,CCR10
G ALPHA (I) SIGNALLING EVENTS,CCL28
G ALPHA (I) SIGNALLING EVENTS,CCL27
G ALPHA (I) SIGNALLING EVENTS,PTGER3
G ALPHA (I) SIGNALLING EVENTS,AGTR2
G ALPHA (I) SIGNALLING EVENTS,AGT
G ALPHA (I) SIGNALLING EVENTS,CCR6
G ALPHA (I) SIGNALLING EVENTS,CCL20
G ALPHA (I) SIGNALLING EVENTS,CXCR3
G ALPHA (I) SIGNALLING EVENTS,CXCL9
G ALPHA (I) SIGNALLING EVENTS,CXCL10
G ALPHA (I) SIGNALLING EVENTS,CXCL11
G ALPHA (I) SIGNALLING EVENTS,GPR17
G ALPHA (I) SIGNALLING EVENTS,NPW
G ALPHA (I) SIGNALLING EVENTS,NPB
G ALPHA (I) SIGNALLING EVENTS,NPBWR2
G ALPHA (I) SIGNALLING EVENTS,NPBWR1
G ALPHA (I) SIGNALLING EVENTS,OPN5
G ALPHA (I) SIGNALLING EVENTS,OPN3
G ALPHA (I) SIGNALLING EVENTS,RGR
G ALPHA (I) SIGNALLING EVENTS,RRH
G ALPHA (I) SIGNALLING EVENTS,OPN1SW
G ALPHA (I) SIGNALLING EVENTS,RHO
G ALPHA (I) SIGNALLING EVENTS,OPN1MW
G ALPHA (I) SIGNALLING EVENTS,OPN1LW
G ALPHA (I) SIGNALLING EVENTS,GNAT1
G ALPHA (I) SIGNALLING EVENTS,GNAT2
G ALPHA (I) SIGNALLING EVENTS,RGS4
G ALPHA (I) SIGNALLING EVENTS,RGS11
G ALPHA (I) SIGNALLING EVENTS,RGS6
G ALPHA (I) SIGNALLING EVENTS,RGS3
G ALPHA (I) SIGNALLING EVENTS,RGS12
G ALPHA (I) SIGNALLING EVENTS,RGS19
G ALPHA (I) SIGNALLING EVENTS,RGS5
G ALPHA (I) SIGNALLING EVENTS,RGS10
G ALPHA (I) SIGNALLING EVENTS,RGS14
G ALPHA (I) SIGNALLING EVENTS,RGS7
